id,kafka_field,dict_key,dict_value,sort_order,is_enabled,remark,created_at,updated_at
9,ALARM_RESOURCE_STATUS,0,未确认,1,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
10,ALARM_RESOURCE_STATUS,1,现网有业务承载,2,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
11,ALARM_RESOURCE_STATUS,2,退网,3,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
12,ALARM_RESOURCE_STATUS,3,工程,4,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
13,ALARM_RESOURCE_STATUS,4,虚拟,5,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
14,ALARM_RESOURCE_STATUS,5,现网无业务承载,6,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
15,ALARM_RESOURCE_STATUS,6,退服状态,7,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
16,ALARM_RESOURCE_STATUS,7,生成中,8,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
17,ALARM_RESOURCE_STATUS,1000,规划状态,9,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
18,ALARM_RESOURCE_STATUS,1100,未知状态,10,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
19,ALARM_RESOURCE_STATUS,1200,工程实施状态,11,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
20,ALARM_RESOURCE_STATUS,1201,工程有业务承载,12,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
21,ALARM_RESOURCE_STATUS,1300,现网状态,13,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
22,ALARM_RESOURCE_STATUS,1310,现网已交维状态,14,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
23,ALARM_RESOURCE_STATUS,1320,现网未交维状态,15,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
24,ALARM_RESOURCE_STATUS,1321,加强,16,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
25,ALARM_RESOURCE_STATUS,1330,现网挂起,17,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
26,ALARM_RESOURCE_STATUS,1400,现网容灾备份状态,18,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
27,ALARM_RESOURCE_STATUS,1410,现网容灾备份交维状态,19,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
28,ALARM_RESOURCE_STATUS,1420,现网容灾备份未交维状态,20,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
29,ALARM_RESOURCE_STATUS,1500,现网工程状态,21,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
30,ALARM_RESOURCE_STATUS,1501,工程测试状态,22,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
31,ALARM_RESOURCE_STATUS,1590,工程-加强,23,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
32,ALARM_RESOURCE_STATUS,1600,退网待删除状态,24,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
33,ALARM_RESOURCE_STATUS,1700,退网状态,25,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
34,ALARM_RESOURCE_STATUS,1800,test,26,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
35,ALARM_RESOURCE_STATUS,9900,工程遗留状态,27,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
36,BUSINESS_LAYER,1,国际局,1,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
37,BUSINESS_LAYER,2,一干,2,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
38,BUSINESS_LAYER,3,省内,3,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
39,BUSINESS_LAYER,1001,省内一干,4,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
40,BUSINESS_LAYER,1002,省内二干,5,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
41,BUSINESS_LAYER,1003,本地骨干,6,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
42,BUSINESS_LAYER,1004,本地汇聚,7,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
43,BUSINESS_LAYER,1005,本地接入,8,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
44,CIRCUIT_LEVEL,1,国际,1,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
45,CIRCUIT_LEVEL,2,港澳,2,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
46,CIRCUIT_LEVEL,3,际专,3,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
47,CIRCUIT_LEVEL,4,省际一级,4,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
48,CIRCUIT_LEVEL,5,省际二级,5,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
49,CIRCUIT_LEVEL,6,省内二级,6,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
50,CIRCUIT_LEVEL,7,本地区间,7,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
51,CIRCUIT_LEVEL,8,本地区内,8,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
52,CIRCUIT_LEVEL,9,楼内,9,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
53,CIRCUIT_LEVEL,1401,跨地专线,10,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
54,CIRCUIT_LEVEL,1402,跨省专线,11,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
55,CIRCUIT_LEVEL,1403,本地专线,12,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
56,CIRCUIT_LEVEL,1404,国际专线,13,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
57,CIRCUIT_LEVEL,1405,港澳台专线,14,1,,2026-05-25 15:47:34,2026-05-25 15:47:34
