专业ID,专业名称,备注,事件标准化ID,事件标准化名称,事件标准化标识,事件等级,事件名称
1,无线接入网,,WLSJ-WL-WX-04-80-9999,[省内]动环其他事件,1,4,[省内]动环其他事件-${EVENT_NAME}
2,核心网,,WLSJ-WL-HX-04-80-9999,[省内]核心网其他事件,1,4,[省内]核心网其他事件-${EVENT_NAME}
3,数据网,已配置原子事件规则,WLSJ-WL-IP-04-80-9999,[省内]数据网其他事件,1,4,[省内]数据网其他事件-${EVENT_NAME}
4,传输网,,WLSJ-WL-CS-04-80-9999,[省内]传输网其他事件,1,4,[省内]传输网其他事件-${EVENT_NAME}
5,动环,,WLSJ-WL-DH-04-80-9999,[省内]动环其他事件,1,4,[省内]动环其他事件-${EVENT_NAME}
6,安全,,WLSJ-WL-A-04-80-9999,[省内]其他专业事件,1,4,[省内]其他专业事件-${EVENT_NAME}
7,内容网,已配置原子事件规则,WLSJ-WL-NRW-04-80-9999,[省内]内容物网其他事件,1,4,[省内]内容物网其他事件-${EVENT_NAME}
8,数据业务平台,已配置原子事件规则,WLSJ-WL-YW-04-80-9999,[省内]数据业务平台其他事件,1,4,[省内]数据业务平台其他事件-${EVENT_NAME}
9,IT网,已配置原子事件规则,WLSJ-WL-IT-04-80-9999,[省内]IT网其他事件,1,4,[省内]IT网其他事件-${EVENT_NAME}
10,物联网,,WLSJ-WL-IOT-04-80-9999,[省内]物联网其他事件,1,4,[省内]物联网其他事件-${EVENT_NAME}
11,集客,,WLSJ-WL-B-04-80-9999,[省内]集客其他事件,1,4,[省内]集客其他事件-${EVENT_NAME}
12,家宽,网络二级专业 = 数据侧， 已配置原子事件规则,WLSJ-WL-B-04-80-9999,[省内]家宽其他事件,1,4,[省内]家宽其他事件-${EVENT_NAME}
13,云平台,已配置原子事件规则,WLSJ-WL-YPT-04-80-9999,[省内]云平台其他事件,1,4,[省内]云平台其他事件-${EVENT_NAME}
20,虚拟化,,WLSJ-WL-HX-04-80-9999,[省内]虚拟化其他事件,1,4,[省内]虚拟化其他事件-${EVENT_NAME}
30,投诉预警,,WLSJ-WL-YQ-04-80-9999,[省内]投诉预警其他事件,1,4,[省内]投诉预警其他事件-${EVENT_NAME}
31,舆情预警,,WLSJ-WL-YQ-04-80-9999,[省内]舆情预警其他事件,1,4,[省内]舆情预警其他事件-${EVENT_NAME}
32,应急管理,,WLSJ-WL-QT-04-80-9999,[省内]应急管理其他事件,1,4,[省内]应急管理其他事件-${EVENT_NAME}
,,,,,,,
,,,,,,,
