ID,TXT
0,未知
1,设备原始告警
2,性能告警
3,专业网管性能告警
4,处理器错误
5,服务质量告警
6,环境告警
7,通信告警
8,业务告警
9,信令系统
10,软件系统
11,通讯系统
12,环境系统
13,拨测告警
14,事件告警(弃用)
15,投诉告警
16,衍生告警
17,关联告警
18,投诉预警
19,舆情预警
20,应急告警
100,综合监控性能告警
101,安全服务或机制违背
102,操作违背
107,硬件系统
108,运行系统
109,中继系统
201,处理错误
205,管理告警
206,交换告警
208,软件告警
209,运行告警
210,信令告警
211,数字中继告警
212,电源告警
298,省级关注
299,集团关注
300,网元性能告警
301,系统性能告警
302,相关性告警
303,系统预测告警
400,梯度告警
500,巡检告警
501,性能突变告警
502,派生重大故障告警
700,采集告警
701,长时间没有收到网元心跳信号
702,与网元连接中断
800,基站告警
801,处理失败告警
802,环境
803,设备故障
804,处理出错
805,业务质量
806,通信质量
807,网管告警
808,安全告警
809,某ATM口有SDH/SONET无法使用
810,连通性告警
811,硬件告警
812,通讯故障
813,物理违背
814,收集统计信息的文件大小已经超过阀值
815,完整性告警
816,事件告警
817,协议告警
818,系统告警
819,中继与传输
820,外部告警
821,进程故障
822,单元重启
823,链路故障
14001,处理出错
14002,服务质量
14003,硬件系统
14004,业务质量
14005,省内非实时性能告警
14006,省内实时性能告警
14007,通信告警
14008,处理错误告警
14009,网元时钟不同步
14010,未清除特殊处理
14011,完整性告警
14012,操作告警
14013,物理资源告警
14014,安全告警
14015,时间域告警
14016,属性值改变告警
14017,对象创建告警
14018,对象删除告警
14019,关系改变告警
14020,状态改变告警
14021,路由改变告警
14022,保护倒换告警
14023,越限告警
14024,文件传输状态告警
14025,备份状态告警
14026,心跳告警
14027,各省自行梳理
14029,信令系统
14030,通信故障
14031,数据配置
14032,处理告警
14034,通信质量
14035,处理失败告警
14036,事件
14037,处理错误
14038,设备
14039,环境
14040,通信
14041,连通性告警
14042,实时性能告警
14043,发电工单告警
14044,性能越限通知
14045,网优性能告警
14046,链路故障
14047,处理器模块
14048,告警超量-事中
14049,通讯告警
14050,网管系统告警
14051,中继与传输
14052,业务质量告警
14053,处理出错告警
14054,网管服务受影响
14055,网络告警
14101,投诉
14102,监控
14103,客户投诉
14104,告警监控
14105,告警衍生
14201,通知类
14202,专业管控类
2017102035,外部环境异常
