OMC_ID,OMC_NAME,备注,上线时间
874,华为彩铃I200,,
875,华为彩铃I200,,
876,视频彩铃网管,,
877,视频彩铃网管,,
883,华为FZSSA1,,
884,华为XMSSA1,,
887,hstp,,
995,华为QZLSTP,,
996,华为FZLSTP,,
999,卓望MISC,,
1101,开机提醒,,
1102,CT能力网关,,
1221,贝尔HSTP,,
1222,BELL FZH2,,
4111,诺基亚45G,,
4312,诺基亚45G,,
4411,福州NSN OSS,,
4412,厦门NSN OSS,,
4413,泉州NSN OSS,,
4414,漳州NSN OSS,,
4423,泉州NSN OSS,,
4425,厦门诺西ASCII 2G,,
4425,厦门诺西LTE-10（NB网管）,,
4812,福州诺西LTE-OMC2,,
4813,福州诺西LTE-OMC3,,
4814,厦门诺西VOLTE-OMC4,,
4815,厦门诺西LTE-OMC5,,
4816,xmnokiavolte5,,
4817,福州诺西LTE-OMC7,,
4818,fznokiavolte1,,
4819,福州诺西LTE-8,,
4898,NokiaVolte,,
7011,中兴45G,,
7025,中兴45G,,
7026,中兴45G,,
7051,中兴CDN,,
7052,中兴IPSMGW,,
7053,VCDN,,
7601,qzzterlte1,,
7605,qzzterlte4,,
7607,qzzterlte3,,
7702,qzztevolte1,,
7903,泉州中兴GNF-OMC,,
7903,泉州中兴LTE-OMC1,,
7905,福州中兴GNF-OMC(2G),,
7905,福州中兴GNF-OMC(LTE),,
7909,LTE-OMC6,,
7910,泉州中兴LTE-OMC1,,
8029,华为CDN(icahe),,
8033,华为DV,,
8034,华为icache,,
8206,泉州华为新建GFN-OMC,,
8304,fzhwims1,,
8602,ndhw2,,
8703,qzhuaweilte1,,
8707,fzhwlte2,,
8711,泉州华为新建GFN-OMC,,
8717,厦门华为南数MAE-1,,
8718,厦门华为南数MAE-2,,
8719,厦门华为南数MAE-3,,
8720,厦门华为南数MAE-2,,
8721,厦门华为南数MAE-3,,
8806,华为LTE,,
8873,智能网6期,,
8875,华为IDC机房动环告警,,
8876,华为LTE采集系统,,
8877,智能网VOLTE-I2000,,
8878,华为LTE采集扩容,,
9002,fzdatanglte2,,
9502,大唐5G,,
12002,Femto告警,,
12113,fzbelldra1,,
15001,亿阳-场景监控（性能和告警相结合衍生告警）,,
15005,eoms工单预警告警,,
15014,监控自研告警,,
30057,核心网工作台告警,,
93801,小站网管,,
127001,室分干放告警、全网小区长时退服(注：端口利旧),,
127002,网优性能,,
140251,新大陆互联网电视告警,,
202086,杭研CDN,,
203301,性能连续超标告警（自动拨测）,,
300103,高兴新动力环境告警,,
300107,中兴动力环境告警,,
300113,高兴新动力环境告警（局楼）,,
300162,艾默生动力环境告警-基站,,
300163,艾默生动力环境告警-局楼,,
300204,直真传输,,
300205,集客直真,,
300301,泰岳数据网管,,
305125,博后互联网电视,,
305166,赛特斯互联网电视,,
305167,新大陆IT云硬件告警,,
305168,5G专网业务告警,,
305171,HDICT故障告警,,
400101,高速高铁告警,,
400102,新大陆动环网管,,
400104,宽带运维支撑系统告警,,
400105,高速高铁告警性能告警,,
400181,在线投诉预警,,
400182,诺基亚投诉预警,,
400185,核心网TOB ,,
400187,CMP,,
400188,5GC告警和集团回传告警,,
400210,易视腾互联网电视,,
400219,特力通安全,,
400220,特力通IDC,,
400244,诺基亚三融合HSS统一运维平台告警,,
414014,观安安全,,
414025,新大陆动环性能告警,,
